Publication.Number;Publication.Year;IPC;Main.IPC.Subclass;Simple.Family;Count.of.Simple.Family.Members;Simple.Family.Cited.by.Count;Count.of.Other.References;Count.of.Cited.by.Patents;Count.of.Cites.Patents;Count.of.Cited.by.Patents.Within.3.years;Count.of.Cited.by.Patents.Within.5.years;Simple.Legal.Status;Count.of.claims;Quality.of.Family;Classifier
FR428558A;1911;B64C39/00;B64C;FR428558A;1;0;0;0;0;0;0;Inactive;29;Low;Strong
GB191208591A;1913;B64C39/00;B64C;GB191208591A;1;0;0;0;0;0;0;Inactive;2;Low;Strong
US4494713;1985;B64C39/00 | B64C39/10 | B64C1/16 | B64C23/04;B64C;DE3381960D1 | US4494713;2;13;0;13;8;0;0;Inactive;10;High;Strong
US20090302149A1;2009;B64C37/02 | B64B1/00 | B64C39/00;B64C;US20090302149A1 | US7967238;2;21;0;18;0;7;16;Active;27;High;Strong
DE4114520C1;1992;B63H9/06 | B64D17/02 | B64D17/00 | B62D35/00 | B64C21/04 | B64C31/06 | B64C39/00 | F03D1/06 | F15D1/12;B63H;DE4114520C1;1;16;0;16;6;1;2;Inactive;98;Low;Strong
DE558426A;1932;B63H9/02 | B64C23/08 | B64C39/00;B63H;DE558426A;1;23;0;23;0;0;0;Inactive;9;Low;Strong
CA2546207A1;2007;B64C27/00;B64C;CA2546207A1;1;9;0;9;0;0;2;Inactive;3;Low;Strong
US6082671;2000;B64C39/00 | B64C39/02 | B64C33/02;B64C;US6082671;1;111;2;111;6;25;45;Inactive;57;High;Strong
US4043421;1977;B60V1/00 | B64C39/00 | B64C27/20;B60V;US4043421;1;49;0;49;14;0;2;Inactive;5;High;Strong
JP2017061174A;2017;B64D25/00 | A63H27/133 | A63H27/10 | B64C39/02 | B64C39/00;B64D;JP2017061174A;1;2;0;2;9;2;2;Inactive;2;Low;Weak
US6581872;2003;B64C27/20 | B64C27/00 | B64C39/06 | B64C39/00 | B64C29/00;B64C;GB0200307D0 | GB2378427A | GB2378427B | US20030098388A1 | US6581872;5;72;0;53;21;7;18;Inactive;21;High;Strong
CN203975229U;2014;B64C39/00;B64C;CN203975229U;1;0;0;0;1;0;0;Inactive;5;Low;Weak
US6908061;2005;B64B1/00 | B64B1/06 | B64F1/00 | B64C39/00 | B64C39/02 | B64F1/18 | G01S5/22 | G01S5/20 | G01S5/00 | G05D1/02 | G08G5/00;B64B;CN1230350C | CN1464856A | JPWO2003004352A1 | US20030025034A1 | US20040232285A1 | US6857601 | US6908061 | WO2003004352A1;8;94;5;12;10;4;6;Inactive;23;High;Weak
US3762668;1973;B64C39/00 | B64C39/02 | B64C27/48;B64C;US3762668;1;0;0;0;4;0;0;Inactive;13;High;Strong
CN102390531A;2012;B64C39/00 | B64C1/00 | B64D27/26;B64C;CN102390531A;1;6;1;6;4;4;6;Inactive;3;Low;Weak
GB191001443A;1910;B64C39/00;B64C;GB191001443A;1;0;0;0;0;0;0;Inactive;7;Low;Strong
DE3706334A1;1989;B64C39/00 | F02K7/02 | B64G1/14 | F02K9/00;B64C;DE3706334A1;1;1;0;1;0;0;0;Inactive;38;Low;Weak
FR951902A;1949;B64C39/00 | B64C39/04;B64C;FR951902A;1;4;0;4;0;0;0;Inactive;2;Low;Strong
GB1027918A;1966;B64C39/00;B64C;AT235150B | GB1027918A;2;5;0;5;0;0;0;Inactive;22;Low;Strong
DE4216531A1;1993;B63H1/08 | B64C39/00 | F03B17/06 | F03D3/06 | F03B7/00 | B64C11/00 | B64C27/32 | F01D5/02;B63H;DE4216531A1;1;15;0;15;0;0;3;Inactive;61;Low;Strong
FR460260A;1913;B64C39/00;B64C;FR460260A;1;0;0;0;0;0;0;Inactive;28;Low;Weak
CA1168643A;1984;B64C39/00;B64C;CA1168643A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
FR434606A;1912;B64C39/00;B64C;FR434606A;1;0;0;0;0;0;0;Inactive;33;Low;Strong
GB2188301A;1987;B64C39/00 | B64C39/08 | B64C30/00;B64C;GB2188301A | GB2188301B | GB8607483D0;3;1;0;1;3;0;0;Inactive;23;Low;Weak
CH464708A;1968;B64B1/00 | B64C23/00 | B64C39/00;B64B;CH464708A | GB1120443A;2;1;0;1;0;0;1;Inactive;25;Low;Strong
DE102015205337A1;2016;F03G3/08 | B60K8/00 | B63H19/00 | B64D27/00;F03G;DE102015205337A1;1;0;0;0;1;0;0;Inactive;110;Low;Strong
FR669661A;1929;B64C39/02 | B64C39/00 | B64D11/00;B64C;FR669661A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
GB2424406A;2006;B64C | B64C29/00 | B64C39/00 | F04D29/44 | F04D | B64C39/06;B64C;AT478001T | DE602006016250D1 | EP1863704A1 | EP1863704B1 | ES2351051T3 | GB0505956D0 | GB0605719D0 | GB2424406A | US20080213090A1 | US7857256 | WO2006100523A1;11;26;0;4;3;4;4;Inactive;10;High;Strong
CN2176320Y;1994;B64C39/00;B64C;CN2176320Y;1;1;0;1;0;0;0;Inactive;4;Low;Strong
FR803976A;1936;B64C31/00 | B64C39/00 | B64C39/12 | B64C31/04 | B64C13/00;B64C;FR48209E | FR803976A;2;4;0;3;0;0;0;Inactive;1;Low;Strong
DE3706211A1;1988;B64C31/036 | B64D17/00 | B64C39/00;B64C;DE3706211A1;1;2;0;2;0;1;1;Inactive;9;Low;Weak
CN204415730U;2015;B64C39/00 | B64F3/00;B64C;CN204415730U;1;4;0;4;1;4;4;Inactive;5;Low;Weak
CN2433176Y;2001;B64C39/00;B64C;CN2433176Y;1;0;0;0;0;0;0;Inactive;1;Low;Strong
CN101074052A;2007;B64C39/00;B64C;CN101074052A;1;1;0;1;0;0;0;Inactive;2;Low;Strong
DE102005059679A1;2006;B64C27/22;B64C;DE102005059679A1;1;1;0;1;0;1;1;Inactive;31;Low;Strong
DE1817933A1;1975;B64C39/00 | B64C27/54;B64C;DE1817933A1;1;3;0;3;0;0;0;Inactive;15;Low;Strong
FR503180A;1920;B64C39/00;B64C;FR503180A;1;1;0;1;0;0;0;Inactive;2;Low;Weak
FR668047A;1929;B64C39/00;B64C;FR668047A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
DE10224475A1;2004;B64C39/00 | B64G1/40 | F03H99/00;B64C;DE10224475A1;1;4;0;4;2;0;0;Inactive;36;Low;Weak
RU42810U1;2004;B64C39/00;B64C;RU42810U1;1;1;0;2;0;2;2;Inactive;1;Low;Strong
CN1054563A;1991;B64C39/00;B64C;CN1054563A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
WO1995027652A1;1995;B64C39/00 | B64B1/08 | B64B1/22 | B64C25/32 | B64B1/36 | B64C15/02 | B64D47/06 | B64D25/32 | B64B1/00 | B64B1/58 | B64B1/06;B64C;AU1995021342A1 | CN2188544Y | WO1995027652A1;3;19;0;12;9;0;0;Undetermined;10;Low;Strong
FR1167866A;1958;B64C39/00 | B64C39/08;B64C;FR1167866A;1;0;0;0;0;0;0;Inactive;1;Low;Weak
US3807661;1974;B64C1/34 | B64C1/00 | B64B1/22 | B64C39/00;B64C;JP1973062197A | JP1981023836B2 | US3807661;3;16;0;10;3;0;0;Inactive;17;High;Weak
GB493836A;1938;B64C39/00 | B64C39/10;B64C;GB493836A;1;0;0;0;0;0;0;Inactive;16;Low;Weak
FR2535285A1;1984;B64C31/028 | B64C39/00;B64C;FR2535285A1;1;4;0;4;0;2;2;Inactive;12;Low;Strong
FR2283052A1;1976;B64C39/00 | B64D27/24 | B64B1/00;B64C;FR2283052A1;1;0;0;0;0;0;0;Inactive;3;Low;Strong
US6745979;2004;B64G1/14 | B64C39/08 | B64G1/00 | B64C3/40 | B64C39/00 | B64C3/00 | B64C3/56 | B64C3/38;B64G;US6745979;1;38;6;38;27;5;28;Inactive;10;High;Strong
GB722131A;1955;B64C29/00 | B64C39/00;B64C;GB722131A;1;1;0;1;0;1;1;Inactive;44;Low;Strong
GB110407A;1917;B64C39/00;B64C;GB110407A;1;0;0;0;0;0;0;Inactive;17;Low;Strong
GB191019388A;1910;B64C39/00;B64C;GB191019388A;1;0;0;0;0;0;0;Inactive;2;Low;Strong
WO2011041882A1;2011;F03H99/00 | F03G7/00 | B64C39/00 | F03B17/02 | F01D1/34 | B60K8/00;F03H;CA2773107A1 | US20110079684A1 | WO2011041882A1;3;0;0;0;5;0;0;Undetermined;26;High;Strong
US5899409;1999;B64C39/00 | B64C39/06 | B64C3/00;B64C;DE69430198D1 | DE69430198T2 | EP0716978A1 | EP0716978B1 | US5899409;5;101;0;76;19;6;21;Inactive;21;High;Strong
US20080308669A1;2008;B64C3/20 | B64C39/00;B64C;GB0611802D0 | US20080308669A1 | US7942368;3;12;0;9;8;0;7;Inactive;12;High;Strong
WO2014062096A1;2014;B64G1/32 | H02N15/04;B64G;RU2012144334A | WO2014062096A1;2;0;1;0;4;0;0;Undetermined;6;Low;Strong
RU35314U1;2004;B64C39/00;B64C;RU35314U1;1;1;0;1;0;0;1;Inactive;1;Low;Strong
US6498968;2002;B64C39/00 | B64C39/02 | G05B13/04 | G06F7/00;B64C;US6498968;1;56;2;56;2;28;36;Inactive;41;High;Strong
US5941478;1999;B64C1/00 | B64C39/00 | B64C39/04 | B64C39/02 | B64C3/38 | B64C3/00 | B64C29/00;B64C;US5941478;1;61;0;61;6;3;15;Inactive;56;High;Strong
US3981460;1976;B64C39/06 | B64C39/00 | B64C3/06;B64C;US3981460;1;44;0;46;12;3;4;Inactive;8;High;Strong
CN101804865A;2010;B64C39/00;B64C;CN101804865A;1;10;0;10;3;5;6;Inactive;10;Low;Weak
CN108408046A;2018;B64C39/00 | B64D27/24;B64C;CN108408046A;1;0;0;0;0;0;0;Inactive;4;Low;Strong
CN203143005U;2013;B64C39/00;B64C;CN203143005U;1;1;0;1;0;1;1;Inactive;6;Low;Strong
DE10107515A1;2002;B64C23/02 | B64C39/00 | F03D1/06 | F03D3/06 | B64C27/32;B64C;DE10107515A1;1;5;0;5;0;3;3;Pending;12;Low;Strong
FR2609446B1;1994;B64C31/028 | B64C39/10 | B64C39/00;B64C;AU1988011827A1 | FR2609446A1 | FR2609446B1 | WO1988005010A1;4;0;0;0;0;0;0;Inactive;6;Low;Weak
FR2303710B1;1978;B64C31/028 | B64C39/00 | B60F5/02;B64C;FR2303710A1 | FR2303710B1;2;4;0;1;0;0;0;Inactive;61;Low;Strong
FR451450A;1913;B64C39/00;B64C;FR451450A;1;0;0;0;0;0;0;Inactive;8;Low;Strong
DE4308758A1;1994;B64C31/00 | B64C31/028 | B64C31/06 | B64C39/00 | B64C31/02;B64C;DE4308758A1;1;10;0;10;0;0;0;Inactive;31;Low;Strong
GB1386354A;1975;B64B1/06 | B64B1/00 | B64C1/00 | B64C39/00;B64B;GB1386354A;1;2;0;2;0;0;1;Inactive;22;Low;Weak
CN201334116Y;2009;B64C39/00 | B64D47/08 | H04N7/18;B64C;CN201334116Y;1;7;0;7;0;0;5;Inactive;3;Low;Strong
FR421572A;1911;A63H27/00 | B64C39/00 | A63H27/16;A63H;FR421572A;1;0;0;0;0;0;0;Inactive;39;Low;Strong
US5351913;1994;B64C39/00 | B64C27/20 | B64C27/33 | B64C27/605 | B64C27/32 | B64C27/00 | B64C39/02 | F02B75/02 | B64C27/46 | B64D35/06;B64C;RU2117604C1 | RU95106357A | US5351913;3;69;0;68;8;4;6;Inactive;47;High;Weak
WO2004082854A1;2004;B60V1/00 | B64C39/00 | B60L13/00 | B60V3/06 | B06L13/04;B60V;AU2003266733A1 | RU2239571C1 | WO2004082854A1;3;0;0;0;3;0;0;Undetermined;9;Low;Strong
US20070252033A1;2007;B64C39/00;B64C;BRPI0615475A2 | CA2617915A1 | CN101557982A | EA200800628A1 | EP1917189A2 | EP1917189A4 | JP2009504509A | KR1020080037097A | MX2008001722A | US20070252033A1 | WO2007081358A2 | WO2007081358A3;12;19;0;9;10;3;5;Inactive;1;High;Weak
FR1444868A;1966;B64C39/06 | B64C39/00;B64C;FR1444868A;1;7;0;7;0;0;0;Inactive;1;Low;Weak
WO2005023645A1;2005;B64C11/00 | B64C39/00 | B64C23/06 | B64C3/50 | B64C23/02;B64C;GB0320870D0 | GB2405624A | WO2005023645A1;3;9;0;7;6;2;2;Undetermined;14;Low;Weak
RU2243131C1;2004;B64C39/00 | B64C39/04 | B64C39/08 | B64C39/12;B64C;RU2243131C1;1;3;1;3;3;1;1;Inactive;6;Low;Strong
FR421727A;1911;B64C39/00;B64C;FR421727A;1;0;0;0;0;0;0;Inactive;19;Low;Strong
CN104417751A;2015;B64C39/00 | B64C29/04 | B64C15/02;B64C;CN104417751A;1;1;0;1;4;1;1;Inactive;3;Low;Strong
DE418380A;1925;B64C39/00;B64C;DE418380A;1;0;0;0;0;0;0;Inactive;9;Low;Weak
FR691627A;1930;B64C39/00 | B64C39/06;B64C;FR691627A;1;5;0;5;0;0;0;Inactive;2;Low;Strong
GB913005A;1962;B64C39/00 | B64C1/14 | B64C39/02 | B64C1/00;B64C;GB913005A;1;12;0;12;0;0;0;Inactive;10;Low;Weak
WO2005014390A2;2005;B64F1/04 | B64C39/00 | B63B27/26 | B64F1/00 | B64C25/00 | B63B27/00 | B64C39/02 | B63B27/10 | B63B27/16 | B64C25/68 | B64F1/02 | B64F1/06 | B64B;B64F;AU2004262619A1 | AU2004262619B2 | AU2009201713A1 | AU2009201713B2 | AU2009201713B8 | CA2513507A1 | CA2513507C | EP1590238A2 | WO2005014390A2 | WO2005014390A3;10;1;0;0;18;0;0;;100;Low;Strong
ES2167525T3;2002;B64C39/00 | B64C39/02 | F41G7/20 | F41G7/32 | F42B15/00 | F42B15/04 | G02B6/44;B64C;AT208886T | DE69616915D1 | DE69616915T2 | EP0762074A1 | EP0762074B1 | ES2167525T3 | FR2738214A1 | FR2738214B1;8;3;0;0;0;0;0;Inactive;4;Low;Strong
CN1651310A;2005;B64C29/00 | B64C39/00 | B64F5/00;B64C;CN1651310A;1;1;0;1;0;0;0;Inactive;3;Low;Weak
US4336913;1982;B64C39/00 | B64C39/08 | B64C31/028 | B64C31/00;B64C;US4336913;1;23;0;23;10;0;1;Inactive;3;High;Strong
CH445304A;1967;B64C39/00;B64C;CH445304A;1;0;0;0;0;0;0;Inactive;1;Low;Weak
CN1030894A;1989;B64C39/00;B64C;CN1030894A;1;0;0;0;0;0;0;Inactive;8;Low;Strong
FR943005A;1949;B64C39/00 | B64C39/12;B64C;FR943005A;1;6;0;6;0;0;0;Inactive;5;Low;Strong
WO2002058752A3;2002;A61L27/34 | A61L29/08 | A61L29/00 | A61L27/54 | A61L29/16 | B64C30/00 | A61L27/38 | A61L31/16 | A61L31/14 | A61L31/00 | B64D7/00 | B64C39/00 | B64C9/00 | B64C3/38;A61L;DE60122571D1 | DE60122571T2 | EP1339439A2 | EP1339439B1 | US20030091609A1 | US6812217 | WO2002058752A2 | WO2002058752A3 | WO2002058752A9;9;69;0;0;10;0;0;Undetermined;54;High;Weak
US4741497;1988;B64F5/00 | B64C39/12 | B64C39/00 | B64C1/00 | B64C3/00;B64F;US4741497;1;28;1;28;2;0;2;Inactive;37;High;Strong
GB448344A;1936;B64C39/00;B64C;GB448344A;1;0;0;0;0;0;0;Inactive;12;Low;Strong
GB2385840A;2003;F41G3/02 | B64C39/02 | B64D47/08 | B64C39/00 | F41G3/00 | B64C27/00 | B64C27/20 | B64D47/00 | B64C29/00 | B64C39/06 | B64C15/00;F41G;GB0129025D0 | GB2385840A;2;15;0;15;6;0;0;Inactive;25;Low;Weak
FR711322A;1931;B64C39/00 | B64C39/08;B64C;FR711322A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
CN201979515U;2011;B25J11/00 | B25J13/00 | B25J19/00 | B64C39/00;B25J;CN201979515U;1;18;0;18;0;3;15;Inactive;1;Low;Weak
RU2338666C2;2008;B64C39/00 | B64B1/62;B64C;RU2006108500A | RU2338666C2;2;1;1;1;3;0;1;Inactive;5;Low;Strong
CH199083A;1938;A63G31/00 | B64C39/00 | B64C39/02 | A63G31/02;A63G;CH199083A;1;3;0;3;0;0;0;Inactive;1;Low;Weak
DE8517023U1;1986;B64C31/028 | B64C39/00;B64C;DE8517023U1;1;2;0;2;0;0;0;Inactive;52;Low;Strong
US5954295;1999;B64C39/00 | B64C29/00;B64C;US5954295;1;9;0;9;5;4;4;Inactive;71;High;Strong
FR815608A;1937;B64C39/00;B64C;FR815608A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
CN2434227Y;2001;B64C39/00;B64C;CN2434227Y;1;1;0;1;0;0;0;Inactive;3;Low;Strong
GB191329027A;1914;B64C39/00;B64C;GB191329027A;1;0;0;0;0;0;0;Inactive;7;Low;Strong
US6932296;2005;B64B1/00 | B64B1/30 | B64C39/00 | B64C39/02 | B64C27/22;B64B;US20050082422A1 | US6932296;2;31;0;21;12;5;7;Inactive;15;High;Weak
GB191115413A;1912;B64C39/00;B64C;GB191115413A;1;0;0;0;0;0;0;Inactive;6;Low;Weak
CN206437203U;2017;B64C25/34 | B64C39/00;B64C;CN206437203U;1;1;0;1;0;0;0;Inactive;30;Low;Strong
US5996933;1999;B64C27/00 | B64C39/00 | B64C27/10 | B64C39/06 | B64C39/02 | B64C27/20;B64C;AT178545T | AU1996072973A1 | AU711268B2 | BRPI9611156A2 | CA2236094A1 | CA2236094C | CN1076688C | CN1200702A | CZ11980098A3 | DE19540272A1 | EP0857139A1 | EP0857139B1 | ES2129990T3 | JP1999514951A | US5996933 | WO1997016343A1;16;43;0;22;10;1;7;Inactive;28;High;Weak
JP2010058779A;2010;B64C39/02 | A63H27/127 | A63H27/133 | B64C13/20 | B64C27/10 | A63H27/00 | B64C39/00 | B64C27/00 | B64C13/00;B64C;JP2010058779A | JP5392891B2;2;14;2;13;6;4;8;Inactive;12;Low;Strong
GB2321227A;1998;B64C15/14 | B64C3/00 | B64C15/00 | B64C9/38 | B64C9/00 | B64C5/00 | B64C5/12 | B64C3/10 | B64C39/00 | B64C29/00;B64C;GB2321227A | GB9701166D0;2;6;0;6;7;0;0;Inactive;19;Low;Weak
US6847865;2005;B64C39/00 | B64C39/02 | F02D41/00 | F02D35/00 | F02B75/34 | F02D41/24 | F02B75/00 | G05D1/10 | B64C13/20;B64C;US20030060943A1 | US6847865;2;85;0;71;8;18;31;Inactive;19;High;Weak
FR660990A;1929;B64C39/00;B64C;FR660990A;1;0;0;0;0;0;0;Inactive;1;Low;Weak
FR419663A;1911;B64C39/00;B64C;FR419663A;1;0;0;0;0;0;0;Inactive;34;Low;Strong
US4613098;1986;B64C39/00 | F02B1/04 | F02B75/02 | F02B1/00 | B64C3/38;B64C;US4613098;1;13;1;13;4;0;0;Inactive;27;High;Weak
FR1038846A;1953;B64C39/02 | B64C39/00 | B64C27/00 | B64C27/10;B64C;FR1038846A;1;16;0;16;0;0;0;Inactive;1;Low;Weak
US4019699;1977;B64C39/00 | B64C39/10 | B64D7/00;B64C;US4019699;1;62;0;62;11;2;2;Inactive;27;High;Strong
GB191014204A;1911;B64C39/00;B64C;GB191014204A;1;0;0;0;0;0;0;Inactive;1;Low;Weak
GB191107965A;1911;B64C39/00;B64C;GB191107965A;1;0;0;0;0;0;0;Inactive;12;Low;Weak
GB191311999A;1913;B64C39/00;B64C;GB191311999A;1;0;0;0;0;0;0;Inactive;6;Low;Weak
DE8418802U1;1984;B64C3/56 | B64C31/02 | B64C39/00;B64C;DE8418802U1;1;2;0;2;0;0;0;Inactive;15;Low;Weak
CH378168A;1964;B64C39/00;B64C;CH378168A;1;0;0;0;0;0;0;Inactive;1;Low;Weak
FR708136A;1931;B64C39/00;B64C;FR708136A;1;0;0;0;0;0;0;Inactive;2;Low;Weak
DE4037472A1;1992;A63H27/127 | B64C39/00 | B64C29/02 | A63H27/26 | B60V3/08 | B64C39/06;A63H;DE4037472A1;1;6;0;6;0;0;2;Inactive;52;Low;Strong
CH162030A;1933;B64C39/00 | B64C39/06;B64C;CH162030A;1;1;0;1;0;0;0;Inactive;1;Low;Weak
FR939720A;1948;B64C25/36 | B64C37/00 | B64C39/00 | B64C25/00 | B64C11/00 | B64C39/12 | B64C17/00 | B64D39/00 | B64C1/00;B64C;FR939720A;1;4;0;4;0;0;0;Inactive;1;Low;Strong
FR985131A;1951;B64C39/00;B64C;FR985131A;1;1;0;1;0;0;1;Inactive;36;Low;Strong
FR1006655A;1952;B64C39/00;B64C;FR1006655A;1;0;0;0;0;0;0;Inactive;1;Low;Weak
GB230017A;1925;B64C39/00 | B64C39/04;B64C;GB230017A;1;0;0;0;0;0;0;Inactive;7;Low;Strong
GB459639A;1937;B64C39/00;B64C;GB459639A;1;0;0;0;0;0;0;Inactive;9;Low;Weak
US4280673;1981;B64C39/06 | B64C39/00 | B64C31/02 | B64C31/00 | B64C39/08 | A63H33/28;B64C;US4280673;1;10;0;10;5;1;2;Inactive;17;High;Strong
FR510539A;1920;B64C39/02 | B64C39/00;B64C;FR510539A;1;6;0;6;0;0;0;Inactive;2;Low;Strong
KR1020070050894A;2007;B64C39/06 | B64C39/00;B64C;KR1020070050894A;1;2;0;2;2;2;2;Inactive;12;Low;Weak
US6742741;2004;B64C3/40 | B64D27/06 | B64C39/00 | B64C3/00 | B64C39/02 | B64D27/00 | B64C15/00;B64C;US6742741;1;79;0;79;5;17;33;Inactive;178;High;Strong
GB288944A;1928;B64C39/00;B64C;GB288944A;1;0;0;0;0;0;0;Inactive;8;Low;Weak
FR2074556A1;1971;B64B1/00 | B64C3/30 | B64C39/06 | B64C39/00;B64B;FR2074556A1;1;4;0;4;0;0;0;Inactive;45;Low;Strong
FR1146257A;1957;B64C29/00 | B64C39/00 | B64C29/02 | B64C39/06;B64C;FR1146257A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
FR2243111A1;1975;B64C31/02 | B64C39/00;B64C;FR2243111A1;1;0;0;0;0;0;0;Inactive;13;Low;Strong
US7410123;2008;B64C27/20 | B64C29/00 | B64C39/00;B64C;AU2001274840A1 | US20040069901A1 | US7410123 | WO2001087707A1;4;67;0;32;28;8;12;Inactive;10;High;Strong
FR490923A;1919;B64C39/00;B64C;FR490923A;1;0;0;0;0;0;0;Inactive;24;Low;Weak
US5178344;1993;B64C27/00 | B64C39/00 | B64C27/20 | B64C29/00;B64C;US5178344;1;56;0;56;18;1;4;Inactive;25;High;Strong
FR570788A;1924;B64C39/00;B64C;FR570788A;1;0;0;0;0;0;0;Inactive;1;Low;Weak
JP2005531719A;2005;F02K3/02 | F02K3/00 | B64C39/02 | B64C39/00 | A63H27/00 | B64C15/02 | B64C29/00 | B64C15/00 | F04D | B64C11/00 | F04D29/56 | F02K1/00;F02K;AU2003246915A1 | AU2003246915B2 | CA2490886A1 | CN1662419A | EP1534590A1 | GB0315040D0 | GB2391846A | GB2391846B | IL165968D0 | JP2005531719A | US20050223694A1 | US7581381 | WO2004002821A1;13;31;0;1;0;0;0;Inactive;20;High;Strong
JP3078406U;2001;B64C39/00 | B64D47/08;B64C;JP3078406U;1;1;0;1;0;0;0;Inactive;1;Low;Strong
WO2005080792A2;2005;H01R13/713 | H01R11/18 | F03D11/00 | H01R13/70 | F03D11/04 | H01R13/639 | B64C39/00 | H01R13/66 | B64C39/02 | H01R13/641 | H01R11/11 | H01R13/64 | H01R9/05 | F03D;H01R;GB0403892D0 | GB2411209A | US20070176432A1 | US7317261 | WO2005080792A2 | WO2005080792A3;6;222;0;2;6;0;0;Undetermined;101;High;Strong
AU2002232540A1;2003;B64C39/00 | B64C37/02;B64C;AU2002232540A1;1;0;0;0;0;0;0;Inactive;16;Low;Weak
FR422051A;1911;B64C39/00;B64C;FR422051A;1;0;0;0;0;0;0;Inactive;24;Low;Strong
RU2016147266A;2019;B64C39/00 | G06F21/00;B64C;RU2016147266A;1;0;0;0;0;0;0;Pending;4;Low;Strong
FR993908A;1951;B64C27/00 | B64C27/04;B64C;FR993908A;1;0;0;0;0;0;0;Inactive;3;Low;Strong
DE3639899A1;1988;B64C39/00 | B64G1/40 | H01F7/00;B64C;DE3639899A1;1;5;0;5;0;0;1;Inactive;54;Low;Strong
CN101693469A;2010;B64C39/00 | B64D27/02;B64C;CN101693469A;1;1;0;1;0;0;0;Inactive;10;Low;Weak
CN1400141A;2003;B64C5/02 | B64C39/00;B64C;CN1400141A;1;3;0;3;0;0;0;Inactive;2;Low;Strong
GB128989A;1919;B64C39/00;B64C;GB128989A;1;0;0;0;0;0;0;Inactive;3;Low;Weak
EP1394039A1;2004;B63H1/08 | B64C39/00;B63H;EP1394039A1;1;12;0;12;9;5;6;Inactive;10;Low;Strong
US5595358;1997;B64C29/00 | B64C39/06 | B64C29/02 | B64C39/00 | B64C39/02 | F02K99/00 | B64C27/08 | B64C27/22 | B64C15/12;B64C;AU1993045930A1 | AU674691B | CA2117186A1 | EP0601212A1 | EP0601212A4 | JP1995502233A | US5595358 | WO1994001326A1;8;46;4;39;23;0;0;Inactive;24;High;Weak
GB2328657B;2001;B64C3/38 | B64C3/00 | B64D27/24 | B64D27/00 | B64C39/00;B64C;DE19716650A1 | DE19716650C2 | FR2762290A1 | FR2762290B1 | GB2328657A | GB2328657B | GB9808421D0;7;15;0;1;8;0;0;Inactive;20;Low;Weak
WO2019059428A1;2019;B64C39/02 | B64C27/10 | B64C25/10 | B64C39/00 | B64C27/82;B64C;WO2019059428A1;1;0;0;0;5;0;0;Undetermined;43;Low;Strong
FR970158A;1951;B64C39/10 | B64C39/00;B64C;FR970158A;1;0;0;0;0;0;0;Inactive;3;Low;Strong
US5072892;1991;B64C39/00 | B64C29/04 | B64C29/02 | B64C29/00 | B64C15/00;B64C;US5072892;1;51;0;51;14;0;1;Inactive;19;High;Strong
FR1369766A;1964;B64C39/00 | B63H1/04 | B63H1/00;B64C;FR1369766A;1;0;0;0;0;0;0;Inactive;2;Low;Strong
JP2007500654A;2007;B64C | B64C37/00 | B64C39/02 | B64D27/24 | B64C39/00 | B64D5/00 | B64C37/02 | B64D;B64C;AT356022T | AU2004242822A1 | AU2004242822B2 | DE602004005184D1 | DE602004005184T2 | EP1628878A1 | EP1628878B1 | GB0312353D0 | JP2007500654A | US20060278757A1 | US7530527 | WO2004106156A1;12;67;0;0;4;0;0;Inactive;38;High;Strong
FR654847A;1929;B64C39/00;B64C;FR654847A;1;1;0;1;0;0;0;Inactive;1;Low;Weak
FR780329A;1935;B64C39/10 | B64C39/00;B64C;FR780329A;1;0;0;0;0;0;0;Inactive;10;Low;Strong
RU2283261C1;2006;B64C39/00 | B64C3/10 | B64C5/08 | B64C9/00;B64C;RU2283261C1;1;1;1;1;3;1;1;Inactive;1;Low;Strong
FR2707248B1;1995;B64C39/00 | B64C39/02 | B64C27/12 | B64C27/20 | B64C29/00 | F41H13/00 | B64C19/00;B64C;FR2707248A1 | FR2707248B1;2;7;0;0;0;0;0;Inactive;10;Low;Strong
US5597137;1997;B64C29/00 | B64C39/06 | B64C39/00 | B64C39/10;B64C;US5597137;1;20;0;20;19;1;5;Inactive;27;High;Strong
DE3914469A1;1990;B64C31/036 | B64D17/02 | B64C39/00;B64C;DE3914469A1;1;4;0;4;0;1;3;Inactive;28;Low;Weak
JP2006027331A;2006;G01C11/02 | G06T1/00 | B64D47/08 | B64C13/20 | B64C39/02 | B64C39/00 | B64D47/00 | G01C11/00 | B64C13/00;G01C;JP2006027331A;1;44;0;44;0;1;6;Inactive;8;Low;Strong
GB527432A;1940;B64C39/00 | B64C39/04;B64C;GB527432A;1;1;0;1;0;0;0;Inactive;9;Low;Weak
US5671899;1997;B64C3/56 | B64C39/02 | B64C39/00 | B64C3/40 | B64C3/00;B64C;US5671899;1;66;0;66;21;3;5;Inactive;20;High;Weak
US3801047;1974;B64C39/00 | B64C27/74;B64C;US3801047;1;21;0;21;6;0;1;Inactive;32;High;Strong
